step	country_code	country_name	country_name_en	region	risk_stage	stance	foreign_action	domestic_message	private_constraint	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	japan_impact_summary
1	USA	アメリカ	United States	北米	圧力上昇	同盟結束とAI覇権を優先	対日へ防衛・対中・AI連携の上積み要請	停戦下でも抑止維持と物価対策を両立	国内分断と歳出膨張で強硬継続が難しい	66.0	58.0	52.0	46.0	54.0	49.0	57.0	47.0	同盟負担増と物価不安が将来像を曇らせ、慎重志向が強まる
1	CHN	中国	China	東アジア	境界的圧力	台湾周辺の圧力維持	台湾周辺で演習強化、対日輸出管理を示唆	外部封じ込めに対抗し安定成長を守る	雇用不安と統制コスト増が弱点	74.0	46.0	61.0	67.0	40.0	72.0	63.0	49.0	就職・物価・安保不安が重なり将来像が曇る
1	JPN	日本	Japan	東アジア	圧力上昇	生活支援と抑止の両立	米国等と協議し調達分散・備蓄強化	不安定化に備え家計負担と抑止を両立	財政配分が逼迫、若者支援と防衛費が競合	60.0	58.0	46.0	38.0	61.0	49.0	52.0	47.0	物価と先行き不安が増すが、支援の見通しで悲観は抑制
1	TWN	台湾	Taiwan	東アジア	境界的圧力	抑止強化と産業維持	米日と抑止協調、重要品目を優先配分	緊張は続くが日常と雇用を守る	海上封鎖懸念と電力・燃料脆弱性	74.0	46.0	57.0	61.0	52.0	72.0	66.0	54.0	半導体・安保不安で将来像が曇り、挑戦より防衛的選好が増える
1	KOR	韓国	South Korea	東アジア	圧力上昇	半導体と同盟の両立重視	米国連携で対北抑止、エネ調達分散	物価対策と雇用支援を優先し不安を抑える	財政は限界、若者支援と防衛費が競合	60.0	57.0	52.0	44.0	56.0	53.0	49.0	50.0	半導体競争と原油不安が波及。将来不安は増えるが、協調が見えれば急落はしない
1	PRK	北朝鮮	North Korea	東アジア	間接衝突	抑止誇示で体制維持	短距離発射と示威、対話窓口は残す	外圧に屈せず国防強化で安定維持	食料・外貨不足、誇示で統制を保つ	74.0	33.0	52.0	41.0	46.0	57.0	69.0	55.0	安全不安が進路選好を硬化、挑戦より安定志向へ
1	RUS	ロシア	Russia	ユーラシア	間接衝突	制裁下で戦時経済維持	資源輸出を選別し第三国決済を拡大	包囲に耐え生活と雇用を守る	戦費と動員疲れで体制負担が増す	74.0	63.0	57.0	61.0	52.0	58.0	54.0	44.0	物価と将来不安が続き、挑戦より防衛志向が強まる
1	UKR	ウクライナ	Ukraine	欧州	限定戦争	戦線維持と支援確保を優先	欧米へ追加支援要請、装備と資金を確保	長期戦でも生活と動員の両輪で耐える	人的損耗と財政逼迫で持久が限界に近い	64.0	41.0	57.0	32.0	62.0	49.0	46.0	52.0	戦争長期化報道で将来不安増、進路決断が慎重化
1	IRN	イラン	Iran	中東	境界的圧力	停戦維持と抑止強化	代理勢力抑制と航路圧力を併用	停戦を守りつつ主権と生活を守る	制裁と不満で強硬姿勢が必要	66.0	72.0	54.0	44.0	59.0	58.0	61.0	45.0	燃料高と不確実性で将来設計が縮む
1	ISR	イスラエル	Israel	中東	間接衝突	抑止維持と技術優位確保	米国と停戦維持を調整し制裁・輸出管理を強化	不安定は続くが抑止と経済を同時に守る	戦時負担と分断で正統性が揺れやすい	66.0	57.0	44.0	61.0	63.0	58.0	52.0	47.0	供給不安と物価懸念が増し、将来設計が短期化しやすい
1	SAU	サウジアラビア	Saudi Arabia	中東	圧力上昇	市場安定優先で供給調整	OPEC+調整と航路警備協議で価格沈静化	国益と改革資金を守り市場の急変を抑える	高値維持と米国配慮、国内雇用が綱引き	46.0	63.0	44.0	28.0	41.0	49.0	52.0	54.0	ガソリン・物価高が将来不安を刺激、節約志向が強まる
1	EU	欧州連合	European Union	欧州	圧力上昇	規制と景気の両立を優先	対露制裁維持、調達多角化と協調	安全と物価対策を同時に進める	加盟国間の分断と景気減速が制約	46.0	58.0	52.0	37.0	44.0	49.0	47.0	56.0	物価と雇用不安がじわり。将来像は揺れるが急落は小
2	USA	アメリカ	United States	北米	圧力上昇	AI覇権維持と同盟負担増	対日へAI・半導体連携と対中管理を要求	雇用不安に備え投資と安全保障を両立	分断と物価で強硬・歳出拡大が限界	68.0	60.0	61.0	57.0	63.0	55.0	64.0	44.0	計算資源と雇用の先行き不安が増幅し、将来設計が短期化
2	CHN	中国	China	東アジア	境界的圧力	技術主権優先で外圧牽制	輸出管理を運用強化、台湾周辺で示威	AI競争で産業高度化と雇用安定を守る	計算資源と失業不安で統制負担増	77.0	48.0	66.0	74.0	43.0	76.0	69.0	45.0	AI競争と供給制約が就職不安を増幅、将来像が縮む
2	JPN	日本	Japan	東アジア	圧力上昇	成長投資と生活防衛の両立	米欧と計算資源・半導体確保を協議	競争期でも雇用と生活を守り投資を促す	財政配分と規制設計で利害が割れる	61.0	56.0	55.0	46.0	63.0	52.0	57.0	44.0	将来不安と競争焦燥が増すが、再訓練と投資が見えれば持ち直す
2	TWN	台湾	Taiwan	東アジア	境界的圧力	抑止継続とAI供給防衛	米日欧と供給協議、重要品目の優先配分	緊張下でも投資と雇用を守る	燃料・電力脆弱、輸出規制圧力も	76.0	49.0	63.0	69.0	55.0	78.0	71.0	51.0	計算資源と雇用不安が増幅し、進路選択が保守化しやすい
